"year","organisation","critical_industry","organisation_size","level_of_digital_intensity","sector","country","cyber_security_role","cyber_security_frameworks","education_and_awareness_policy","policy","prevention_detection_and_recovery","improper_network_segmentation","absence_of_encryption","detector","restructuring_after_attack","bribe_ransom_paid","free_identity_or_credit_theft_monitoring","additional_disclosure_of_information","number_of_users_affected","overall_nature_of_attack","attack_type","attacker","attack_vector","impact_on_data","aspect_of_confidentiality_integrity_availability_triad_affected","individual_s_name_s_leaked_exposed","address_es_leaked_exposed","other_personally_identifiable_information_pii_leaked_exposed","track_1_credit_card_details_leaked_exposed","track_2_credit_card_details_leaked_exposed","social_security_number_tax_number_leaked_exposed","subsequent_fraudulent_use_of_data","investigation","undertook_investigation","litigation_by_public","penalties_settlement_paid_or_actions_imposed","imposed_penalties_or_actions_on_organisation","fines_issued_by_government_or_relevant_body","settlement_paid"
2011,"Healthcare Partners","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",11500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Heartland Payment System","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","Credit card/bank","NA","No","Yes","Yes",1.3e+08,"Type 1","Installed malware","External","Insufficient input validation","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","No","Yes","Yes","No","No","Yes"
2017,"Henry Ford Health System","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",18470,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"Hewlett Packard","No","Large","Medium-High","Computer, electronic and optical products","Global","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",196000,"Type 3","Physical Theft","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2013,"Holy Cross Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","No",9900,"Type 5","Misuse of resources","Internal","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Honda Canada","Yes","Large","Medium-High","Machine equipment","Canada","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","Yes",280000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2006,"Honeywell International","No","Large","High","Scientific research and development","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","NA","Yes",19000,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2013,"Hope Family Health","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","Yes",8000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Horizon Healthcare Services, Inc","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","NA","Organisation","Yes","No","Yes","Yes",840000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Hospice Palliative Care of Alamance-Caswell","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","Yes",13000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Housatonic Community College","No","Medium","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","Yes",87000,"Type 1","Installed malware","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Howard University Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","Yes",34503,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"HuskyDirect.com","No","Unknown","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",18000,"Type 2","Unknown","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2016,"iDressup.com","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","Yes",5500000,"Type 2","Misuse of resources","External","Insufficient input validation","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
2007,"Illinois Dept. of Financial  Professional Regulation","Yes","Medium","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","NA","NA",3e+05,"NA","Unknown","External","NA","Low","Confidentiality","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
2015,"Indiana State Medical Association","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","No",39090,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"Indiana University","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","Yes","NA",12374,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Indiana University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",146000,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Infowars/ Prison Planet TV","No","Unknown","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",50000,"Type 2","Unknown","External","Insufficient input validation","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2018,"Inogen, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","No",30000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Integrated Health Solutions PC","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",20000,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Integrated Regional Laboratories, LLC","No","Large","High","Scientific research and development","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","NA",29644,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"Iowa State Racing  Gaming Commission","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","No","NA",80000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Iowa State University","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",30000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2015,"IRS","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",334000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Japan Airlines","Yes","Large","Low","Transportation storage","Japan","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",750000,"Type 1","Installed malware","External","Social engineering","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Jason's Deli - Deli Management, Inc.","Yes","Large","Low","Accommodation and food service activities","USA","No","No","No","Yes","Low","Yes","Yes","Credit card/bank","No","No","No","Yes",2e+06,"Type 1","Installed malware","External","Unknown device attack","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","Yes","No","No","No","No","No"
2017,"Jemison Internal Medicine, PC","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",6650,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Jenner & Block","No","Medium","High","Legal and accounting activities","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","Yes",859,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"JP Morgan Chase","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","Yes","Yes","NA","Yes","No","No","Yes",8.3e+07,"Type 2","Misuse of resources","External","Insufficient authentication validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2009,"Kaiser Permanente","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",29500,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Kansas Department of Commerce","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",5500000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"KDDI","Yes","Large","High","Telecommunications","Japan","No","No","No","Yes","Low","Yes","Yes","Public","No","No","NA","Yes",3996789,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2007,"Kingston Technology Co.","Yes","Large","Medium-High","Computer, electronic and optical products","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","No",27000,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2018,"Knoxville Heart Group, Inc.","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",15995,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Korea Credit Bureau","Yes","Unknown","High","Finance and insurance","South Korea","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","Yes","Yes",2e+07,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2012,"KT Corp.","Yes","Large","High","IT and other information services","South Korea","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",8700000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","Yes","NA","NA","NA","No","No","No","No","No","No","No","No","No"
2013,"L.A. Gay & Lesbian Center","No","Unknown","Low-Medium","Residential care and social work activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",59000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2016,"Lafayette Pain Care PC","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","Yes","No",7500,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Las Colinas Orthopedic Surgery & Sports Medicine, PA","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","NA","NA",76000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Lasell College","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","NA","NA",20000,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Laser & Dermatologic Surgery Center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",31000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Legacy Health","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",38000,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"LexisNexis","No","Large","Medium-High","Publishing, audiovisual and broadcasting","Global","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",310000,"Type 1","Installed malware","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"LifeBridge Health, Inc","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",5e+05,"Type 1","Installed malware","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"LinkedIn","No","Large","High","Advertising and other business services","USA","No","No","No","Yes","Low","NA","Yes","NA","Yes","No","No","Yes",1.17e+08,"NA","Unknown","External","NA","Low","Confidentiality","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes"
2013,"Living Social","No","Large","High","Advertising and other business services","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","Yes",5e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2017,"Longs Peak Family Practice, P.C.","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",16238,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Los Angeles County Department of Health","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","No",168000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Los angeles philharmonic","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",2362,"Type 2","Misuse of resources","External","Social engineering","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Louisiana Healthcare Connections","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","Yes",13000,"Type 5","Misuse of resources","Internal","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Lucile Packard Childrens Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","Yes",57000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Luxottica Group, Things Remembered","No","Large","Low-Medium","Textiles, wearing apparel and leather","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","NA","NA",59000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Lynda.com","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",55000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2019,"Maffi Clinics","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",10465,"Type 1","Installed malware","External","NA","High","Availability","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Mail.ru","Yes","Large","High","IT and other information services","Russia","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",2.5e+07,"NA","Unknown","External","NA","Low","Confidentiality","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2013,"Maricopa County Community College District","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","No","Yes","Federal Agency","Yes","No","Yes","Yes",2400000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2018,"Marriott","No","Large","Low","Accommodation and food service activities","Global","Yes","No","No","Yes","Low","No","Yes","Organisation","Yes","No","Yes","Yes",3.83e+08,"Type 1","Installed malware","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","NA","NA","No","No","Yes","Yes","No","Yes","No","Yes","No"
2016,"Mayfield Clinic Inc","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",23000,"Type 2","Misuse of resources","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2005,"MCI Inc","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","NA","NA",16500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"McLaren Medical Group (MMG)","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",106008,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Med associates inc","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",270000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Medical College of Wisconsin","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",9500,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Medical Oncology Hematology Consultants, PA","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",19203,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Member First Mortgage, LLC","Yes","Medium","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",36840,"Type 2","Misuse of resources","External","NA","High","Confidentiality","Yes","No","Yes","Yes","NA","Yes","No","No","No","No","No","No","No","No"
2007,"Memorial Blood Centers","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","No","Organisation","NA","No","NA","NA",268000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Memorial Hospital at Gulfport","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","Yes","NA",30000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"Mercantile Potomac Bank","Yes","Unknown","High","Finance and insurance","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",50000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No"
2016,"Mercy Iowa City","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",15000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"Merrill Lynch","Yes","Large","High","Finance and insurance","USA","No","No","No","NA","Low","No","No","Organisation","NA","No","NA","NA",33000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Metropolitan Urology Group","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",17634,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Michaels Stores Inc.","No","Large","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","No","Yes","Credit card/bank","NA","No","No","No",3e+06,"Type 5","Misuse of resources","Internal","Physical device","High","Confidentiality","Yes","No","No","Yes","NA","No","No","Yes","No","Yes","No","No","No","No"
2013,"Michigan Department of Community Health, Michigan Cancer Consortium","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","NA",50000,"Type 4","Web compromise","External","Unknown website/web application attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Michigan State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",4e+05,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Michigan State University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","Yes",4e+05,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Minecraft","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",7e+06,"NA","Unknown","External","NA","High","Confidentiality","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2019,"Mitsubishi Electric","Yes","Large","Medium-High","Electrical equipment","Japan","Yes","No","No","Yes","Low","Yes","Yes","Organisation","No","No","NA","NA",8000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","NA","Yes","No","No","Yes","NA","No","No","No","No","No","No","No"
2017,"MJHS Home Care","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","No",28000,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2007,"MoneyGram International","Yes","Large","High","Finance and insurance","USA","No","No","No","NA","Medium","NA","NA","Organisation","Yes","No","Yes","NA",79000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","NA","NA","NA","NA","NA","No","No","No","No","No","No","No","No"
2007,"Monster.com","No","Medium","High","Advertising and other business services","USA","No","No","No","Yes","Low","Yes","Yes","Federal Agency","NA","No","NA","NA",1600000,"Type 2","Misuse of resources","External","Insufficient authentication validation","High","Confidentiality","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2014,"Montana Health Department","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","Yes",1300000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Montgomery Ward","No","Unknown","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","No","NA",51000,"Type 2","Misuse of resources","External","Unknown network attack","High","Confidentiality","Yes","No","No","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2016,"Mossack Fonseca","No","Unknown","High","Legal and accounting activities","Global","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","NA","NA",NA,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2008,"MTV Networks","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","NA",5000,"Type 1","Installed malware","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Mutuelle Generale de la Police","Yes","Large","Medium-High","Public administration and defence","France","No","No","No","Yes","Low","No","No","Organisation","No","No","No","No",112000,"Type 5","Misuse of resources","Internal","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2018,"MyFitnessPal","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",1.5e+08,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
2016,"MySpace","Yes","Medium","High","IT and other information services","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",3.6e+08,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"Nationwide Mutual Insurance","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",28000,"Type 3","Physical Theft","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2012,"Nationwide Mutual Insurance Company  Allied Insurance","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",1270000,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2006,"Nationwide Retirement Solutions","Yes","Unknown","High","Finance and insurance","UK","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",1.1e+07,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
2017,"Native Canada Footwear","No","Medium","Low-Medium","Textiles, wearing apparel and leather","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","Yes",40000,"Type 1","Installed malware","External","Insufficient input validation","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2014,"Neiman Marcus","No","Large","Low-Medium","Textiles, wearing apparel and leather","USA","No","No","No","Yes","Low","No","Yes","Credit card/bank","No","No","Yes","Yes",370000,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","No","No","No","Yes","No","Yes","No"
2009,"Network Solutions","Yes","Medium","High","IT and other information services","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","Yes","NA",573000,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2010,"New Mexico Medicaid","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","NA","NA",9500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
